lead_score,lead_reasons,name,category,cat_fit,address,phone,phone_e164,phone_valid,whatsapp,wa_listed,business_status,last_review,review_age_days,photos,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
4,Sitio web (formal) | Rating 4.6,Administradora de Inmuebles Moctezuma,Property management company,True," Simón Bolívar 8-Despacho 205, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",55 6670 9577,+525566709577,True,https://wa.me/525566709577,False,open,,,,http://www.administradoramoctezuma.com/,True,4.6,,administracion de condominios,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Administradora+de+Inmuebles+Moctezuma/data=!4m7!3m6!1s0x85ce0257264d1335:0xd958d2b91f4f246f!8m2!3d19.435238!4d-99.1378108!16s%2Fg%2F11gdpvlhhx!19sChIJNRNNJlcCzoURbyRPH7nSWNk
4,Sitio web (formal) | Rating 5.0,Administrador de Condominios,Condominium complex,True,,55 1467 7020,+525514677020,True,https://wa.me/525514677020,False,open,,,,https://sites.google.com/view/jesushirata/home,True,5.0,,administracion de condominios,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Administrador+de+Condominios/data=!4m7!3m6!1s0x457937b0e028ffff:0xeb990c4fb7906885!8m2!3d19.3907336!4d-99.1436127!16s%2Fg%2F11wy5ypsyl!19sChIJ__8o4LA3eUURhWiQt08Mmes
4,Sitio web (formal) | Rating 5.0,Rocha administración y mantenimiento de condominios,Property administration service,True," uno Torre Cube, Blvd. Puerta de Hierro 5210-S-1, Puerta de Hierro, 45116 Zapopan, Jal.",33 3121 4893,+523331214893,True,https://wa.me/523331214893,False,open,,,,http://rochaadministracion.com.mx/,True,5.0,,administracion de condominios,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Rocha+administraci%C3%B3n+y+mantenimiento+de+condominios/data=!4m7!3m6!1s0x8428af245626d6b7:0xfbb266b19586b03e!8m2!3d20.7093766!4d-103.4145527!16s%2Fg%2F11h3fv1_sj!19sChIJt9YmViSvKIQRPrCGlbFmsvs
4,Sitio web (formal) | Rating 5.0,Locatore Administración de Inmuebles,Property management company,True," Av. de las Américas 1500-piso 17, Country Club, 44610 Guadalajara, Jal.",33 3559 5048,+523335595048,True,https://wa.me/523335595048,False,open,,,,https://locatore.mx/,True,5.0,,administracion de condominios,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Locatore+Administraci%C3%B3n+de+Inmuebles/data=!4m7!3m6!1s0x8428af438e87c481:0x448fdc53aa70cfac!8m2!3d20.6979817!4d-103.3735635!16s%2Fg%2F11jzl011vf!19sChIJgcSHjkOvKIQRrM9wqlPcj0Q
4,Sitio web (formal) | Rating 5.0,MGB Administración Residencial y Condominios,Property management company,True,,81 2441 0673,+528124410673,True,https://wa.me/528124410673,False,open,,,,https://mgbadministracion.mx/,True,5.0,,administracion de condominios,Monterrey Mexico,2026-06-15,https://www.google.com/maps/place/MGB+Administraci%C3%B3n+Residencial+y+Condominios/data=!4m7!3m6!1s0xa113696534e2d44d:0x3cd81977f26597f8!8m2!3d25.4809102!4d-99.8141694!16s%2Fg%2F11z8jddm2t!19sChIJTdTiNGVpE6ER-Jdl8ncZ2Dw
4,Sitio web (formal) | Rating 4.9,"Vértice GMS, Administración de Inmuebles (Fraccionamientos, Condominios, Plazas comerciales)",Property management company,True," Paseo de Sta Anita 24, Cd Satélite, 64960 Monterrey, N.L.",81 8098 7978,+528180987978,True,https://wa.me/528180987978,False,open,,,,https://www.verticegms.com/,True,4.9,,administracion de condominios,Monterrey Mexico,2026-06-15,"https://www.google.com/maps/place/V%C3%A9rtice+GMS,+Administraci%C3%B3n+de+Inmuebles+%28Fraccionamientos,+Condominios,+Plazas+comerciales%29/data=!4m7!3m6!1s0x8662bf5469956c95:0x28eeaca38900b654!8m2!3d25.6075233!4d-100.2737296!16s%2Fg%2F11xyvxb9bv!19sChIJlWyVaVS_YoYRVLYAiaOs7ig"
4,Sitio web (formal) | Rating 4.9,CASAS 365 | Inmobiliaria en Monterrey,Real estate agency,True,,81 1288 0981,+528112880981,True,https://wa.me/528112880981,False,open,,,,https://casas365.mx/,True,4.9,,administracion de condominios,Monterrey Mexico,2026-06-15,https://www.google.com/maps/place/CASAS+365+%7C+Inmobiliaria+en+Monterrey/data=!4m7!3m6!1s0x20af264f427067eb:0x5af247bec1a36598!8m2!3d25.4809102!4d-99.8141694!16s%2Fg%2F11k5553fq7!19sChIJ62dwQk8mryARmGWjwb5H8lo
4,Sitio web (formal) | Rating 4.5,"Tres Valles, MAIN Administracion",Condominium complex,True," 77519 Cancún, Quintana Roo",,,False,,False,open,,,,http://maincancun.webnode.es/,True,4.5,,administracion de condominios,Cancun Mexico,2026-06-15,"https://www.google.com/maps/place/Tres+Valles,+MAIN+Administracion/data=!4m7!3m6!1s0x8f4c2ca7b70f9f1d:0x450959da0aded61c!8m2!3d21.1630107!4d-86.8909118!16s%2Fg%2F11f15g_01c!19sChIJHZ8Pt6csTI8RHNbeCtpZCUU"
4,Sitio web (formal) | Rating 4.5,HealProp Administración de Condominios,Real estate agency,True," Palenque Supermanzana 50 Manzana 34 Lote 6, Fracc La Castellana, 77533 Cancún, Q.R.",998 411 3518,+529984113518,True,https://wa.me/529984113518,False,open,,,,http://www.healprop.com/,True,4.5,,administracion de condominios,Cancun Mexico,2026-06-15,https://www.google.com/maps/place/HealProp+Administraci%C3%B3n+de+Condominios/data=!4m7!3m6!1s0x8f4c2b90967e993b:0x5faefec2387d86cb!8m2!3d21.1433868!4d-86.8513097!16s%2Fg%2F11dymwdzt1!19sChIJO5l-lpArTI8Ry4Z9OML-rl8
4,Sitio web (formal) | Rating 5.0,Grupo EDCA,Property management company,True," Av. Bonampak Supermanzana 6 Manzana 1 Lote 1, Zona Hotelera, 77500 Cancún, Q.R.",998 441 3335,+529984413335,True,https://wa.me/529984413335,False,open,,,,https://www.grupoedca.com.mx/,True,5.0,,administracion de condominios,Cancun Mexico,2026-06-15,https://www.google.com/maps/place/Grupo+EDCA/data=!4m7!3m6!1s0x8f4c29c71798fc83:0x7f9a649bbef05a05!8m2!3d21.1501949!4d-86.8182276!16s%2Fg%2F11pcl333sv!19sChIJg_yYF8cpTI8RBVrwvptkmn8
4,Sitio web (formal) | Rating 4.5,Real Almena,Condominium complex,True," Supermanzana 42, 77507 Cancún, Quintana Roo",998 802 1085,+529988021085,True,https://wa.me/529988021085,False,open,,,,http://www.casasalmena.com/,True,4.5,,administracion de condominios,Cancun Mexico,2026-06-15,https://www.google.com/maps/place/Real+Almena/data=!4m7!3m6!1s0x8f4c2b88aededa4f:0x584b2bc058f23d70!8m2!3d21.1545921!4d-86.8512113!16s%2Fg%2F11h1sbq9v!19sChIJT9rerogrTI8RcD3yWMArS1g
4,Sitio web (formal) | Rating 5.0,ADCALLI administración de condominios,Property management company,True," Av. del Ferrocarril 3027, col, Lomas de la Carcaña, 72774 San Pedro Cholula, Pue.",222 323 6081,+522223236081,True,https://wa.me/522223236081,False,open,,,,https://adcalli.com/,True,5.0,,administracion de condominios,Puebla Mexico,2026-06-15,https://www.google.com/maps/place/ADCALLI+administraci%C3%B3n+de+condominios/data=!4m7!3m6!1s0xab1a6fb22cd20a95:0x4b249a5bd697f1b4!8m2!3d19.0695902!4d-98.2862301!16s%2Fg%2F11v9hk9g06!19sChIJlQrSLLJvGqsRtPGX1luaJEs
4,Sitio web (formal) | Rating 4.6,Innova Inc. Business and Management,Property management company,True," C. Segunda de Benito Juárez 12946, Guadalupe Hidalgo, 72490 Heroica Puebla de Zaragoza, Pue.",225 125 3350,+522251253350,True,https://wa.me/522251253350,False,open,,,,https://innovainc-bm.com/,True,4.6,,administracion de condominios,Puebla Mexico,2026-06-15,https://www.google.com/maps/place/Innova+Inc.+Business+and+Management/data=!4m7!3m6!1s0x85cfb8ed45dd748f:0x19f6ea8586c6e7a6!8m2!3d18.9792124!4d-98.2531403!16s%2Fg%2F11c4_rys3d!19sChIJj3TdRe24z4URpufGhoXq9hk
4,Sitio web (formal) | Rating 4.9,Inmobiliaria MX,Real estate agency,True," C. 5 Sur 2107-b, El Carmen, 72000 Heroica Puebla de Zaragoza, Pue.",222 685 0454,+522226850454,True,https://wa.me/522226850454,False,open,,,,http://bienyraizinmobiliaria.nocnok.com/,True,4.9,,administracion de condominios,Puebla Mexico,2026-06-15,https://www.google.com/maps/place/Inmobiliaria+MX/data=!4m7!3m6!1s0x85cfc72cd10c26cf:0x6dab866641a5f6ab!8m2!3d19.0381369!4d-98.2066055!16s%2Fg%2F11fjw3htql!19sChIJzyYM0SzHz4URq_alQWaGq20
4,Sitio web (formal) | Rating 4.8,Mudanzas Los Reyes Coyoacán,Moving service,True," Prol Sta Tecla S/N, Pedregal de Santo Domingo, Coyoacán, 04360 Ciudad de México, CDMX",55 5617 9709,+525556179709,True,https://wa.me/525556179709,False,open,,,,http://www.mudanzaslosreyescoyoacan.com/,True,4.8,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Transportes+y+Mudanzas+Los+Reyes+Coyoac%C3%A1n/data=!4m7!3m6!1s0x85ce0028849d92f1:0x641e952ab7543876!8m2!3d19.334809!4d-99.15641!16s%2Fg%2F11cn9rlgqp!19sChIJ8ZKdhCgAzoURdjhUtyqVHmQ
4,Sitio web (formal) | Rating 5.0,Mudanzas y fletes local y foráneo economicos,Trucking company,True," CDGT GT, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX",55 5466 1103,+525554661103,True,https://wa.me/525554661103,False,open,,,,https://mudanzascruzmartinez.com/,True,5.0,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Mudanzas+y+fletes+local+y+for%C3%A1neo+economicos/data=!4m7!3m6!1s0x85d2030053691579:0x85a8c96376935a6!8m2!3d19.4433316!4d-99.2025357!16s%2Fg%2F11nb5frs9l!19sChIJeRVpUwAD0oURpjVpN5aMWgg
4,Sitio web (formal) | Rating 4.6,Mudanza Express | Servicio de mudanzas en Ciudad de Mexico,Moving service,True," Cerrada de lago ladoga, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX",55 2106 8956,+525521068956,True,https://wa.me/525521068956,False,open,,,,https://mi-tarjeta.click/mudanza-express/,True,4.6,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Mudanza+Express+%7C+Servicio+de+mudanzas+en+Ciudad+de+Mexico/data=!4m7!3m6!1s0x85d1f8a0b3b8e319:0x97d4393ca532cc0e!8m2!3d19.4440776!4d-99.1904838!16s%2Fg%2F11f1vvdzyz!19sChIJGeO4s6D40YURDswypTw51Jc
4,Sitio web (formal) | Rating 4.6,Fletes Y Mudanzas Granada,Moving service,True," C. Abelardo L Rodriguez 58, Pensil Nte., Miguel Hidalgo, 11430 Ciudad de México, CDMX",55 6294 6013,+525562946013,True,https://wa.me/525562946013,False,open,,,,https://fletesymudanzasgranada.com.mx/,True,4.6,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+Y+Mudanzas+Granada/data=!4m7!3m6!1s0x85d2033ab27f772b:0x2eb700d04d1f43c1!8m2!3d19.4484651!4d-99.2045185!16s%2Fg%2F11hml5y3jt!19sChIJK3d_sjoD0oURwUMfTdAAty4
4,Sitio web (formal) | Rating 4.9,Mudanzas Cdmx | G Mover Ciudad de México,Moving service,True," Juan Vázquez de Mella 481, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX",55 2026 0353,+525520260353,True,https://wa.me/525520260353,False,open,,,,https://www.mudanzasyfletes.org/,True,4.9,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Mudanzas+Cdmx+%7C+G+Mover+Ciudad+de+M%C3%A9xico/data=!4m7!3m6!1s0xa7dd1f7cd3b30067:0xf99a613912ed54de!8m2!3d19.4335104!4d-99.2090283!16s%2Fg%2F11nwc3c7zq!19sChIJZwCz03wf3acR3lTtEjlhmvk
4,Sitio web (formal) | Rating 5.0,TMG Transportes y Mudanzas Gutierrez,Moving service,True," Lago Míchigan 13-Loc. 2, Tacuba, Miguel Hidalgo, 11410 Ciudad de México, CDMX",55 5527 6612,+525555276612,True,https://wa.me/525555276612,False,open,,,,https://www.facebook.com/tmgtransportes/,True,5.0,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/TMG+Transportes+y+Mudanzas+Gutierrez/data=!4m7!3m6!1s0x85d1f9f5b9c70527:0x4a7b2ac05a095f28!8m2!3d19.4555419!4d-99.1894996!16s%2Fg%2F11c2kclbf6!19sChIJJwXHufX50YURKF8JWsAqe0o
4,Sitio web (formal) | Rating 5.0,Mudanzas Jiménez 3 Hnos,Moving service,True," Av Moliere 222, Polanco, 2 sección, Miguel Hidalgo, 11530 Ciudad de México, CDMX",55 8976 2029,+525589762029,True,https://wa.me/525589762029,False,open,,,,http://www.mudanzasjimenez3hnoscom.com/,True,5.0,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Mudanzas+Jim%C3%A9nez+3+Hnos/data=!4m7!3m6!1s0x85ce01ffa044fceb:0x753e789c9a00590!8m2!3d19.4356367!4d-99.2021931!16s%2Fg%2F11ss86fnwh!19sChIJ6_xEoP8BzoURkAWgyYnnUwc
4,Sitio web (formal) | Rating 4.9,Fletes y Mudanzas Sandoval,Moving and storage service,True," Norte 79B #58 Col. Sector Naval Alcaldía, Azcapotzalco, 02060 CDMX",55 1916 1132,+525519161132,True,https://wa.me/525519161132,False,open,,,,http://fletesymudanzasgruposandoval.jimdofree.com/,True,4.9,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+y+Mudanzas+Sandoval/data=!4m7!3m6!1s0x85d1f9add2125375:0x2d83fb656da3f0ac!8m2!3d19.4695427!4d-99.1768197!16s%2Fg%2F11j611vp9n!19sChIJdVMS0q350YURrPCjbWX7gy0
4,Sitio web (formal) | Rating 4.7,MUDANZAS TACUBA CDMX,Moving service,True," sin número, Avenida Azcapotzalco, Calz México-Tacuba esquina, Miguel Hidalgo, 11410 Ciudad de México, CDMX",55 2509 5993,+525525095993,True,https://wa.me/525525095993,False,open,,,,https://www.facebook.com/Transportestacuba/,True,4.7,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/MUDANZAS+TACUBA+CDMX/data=!4m7!3m6!1s0x85d1f9834206651f:0x9a48e9fc647b867d!8m2!3d19.4598!4d-99.189155!16s%2Fg%2F11fjwpjl53!19sChIJH2UGQoP50YURfYZ7ZPzpSJo
4,Sitio web (formal) | Rating 4.8,Fletes y mudanzas Ramirez,Transportation service,True," Turín 38, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX",55 3707 3973,+525537073973,True,https://wa.me/525537073973,False,open,,,,http://ramirezmudanzas.com/,True,4.8,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+y+mudanzas+Ramirez/data=!4m7!3m6!1s0x85d1ff7a766aa833:0x44356de42b82f21c!8m2!3d19.4265611!4d-99.1552359!16s%2Fg%2F11h6453_wc!19sChIJM6hqdnr_0YURHPKCK-RtNUQ
4,Sitio web (formal) | Rating 4.8,Mudanzas Vargas (CDMX),Moving service,True," Fortunato Zuazua 4, San Juan Tlihuaca, Azcapotzalco, 02400 Ciudad de México, CDMX",55 1889 5529,+525518895529,True,https://wa.me/525518895529,False,open,,,,https://www.facebook.com/mudanzasvargascdmx,True,4.8,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Mudanzas+Vargas+%28CDMX%29/data=!4m7!3m6!1s0x85d20290897618c5:0x1149705364f863e4!8m2!3d19.4919886!4d-99.2019087!16s%2Fg%2F11c37zt9_1!19sChIJxRh2iZAC0oUR5GP4ZFNwSRE
4,Sitio web (formal) | Rating 5.0,Fletes y mudanzas peralta,Moving service,True," Av. José Martí 224, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX",55 7630 8201,+525576308201,True,https://wa.me/525576308201,False,open,,,,https://www.mudanzasperalta.com/,True,5.0,,fletes y mudanzas,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+y+mudanzas+peralta/data=!4m7!3m6!1s0x85d1ff2c3f4e9013:0xa658c205d3eef141!8m2!3d19.4011886!4d-99.1748141!16s%2Fg%2F11h3ng332m!19sChIJE5BOPyz_0YURQfHu0wXCWKY
4,Sitio web (formal) | Rating 5.0,Fletes y mudanzas en Guadalajara económicos,Trucking company,True," Cto. Ing. Tomás Limón Gutierrez 8619, El Manantial, 44860 Guadalajara, Jal.",33 1723 9919,+523317239919,True,https://wa.me/523317239919,False,open,,,,http://www.fleteenguadalajara.com/,True,5.0,,fletes y mudanzas,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+y+mudanzas+en+Guadalajara+econ%C3%B3micos/data=!4m7!3m6!1s0x8428b5c5bf8b3159:0x9f9202dc7da60d1f!8m2!3d20.626905!4d-103.345779!16s%2Fg%2F11ss_r96cg!19sChIJWTGLv8W1KIQRHw2mfdwCkp8
4,Sitio web (formal) | Rating 4.8,Fletes y Mudanzas Guadalajara,Moving service,True," C. Abundancia 580, colonia federacion, 44300 Guadalajara, Jal.",33 1653 7802,+523316537802,True,https://wa.me/523316537802,False,open,,,,https://fletesbarbara.com.mx/,True,4.8,,fletes y mudanzas,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+y+Mudanzas+Guadalajara/data=!4m7!3m6!1s0x8428b171be3e7ef9:0xede3ca16488a3b6a!8m2!3d20.7114527!4d-103.3114007!16s%2Fg%2F11f5vrr857!19sChIJ-X4-vnGxKIQRajuKSBbK4-0
4,Sitio web (formal) | Rating 4.6,FLETES y mudanzas Olmos,Moving and storage service,True," Acerina, El Retiro, 44280 Guadalajara, Jal.",33 1019 1984,+523310191984,True,https://wa.me/523310191984,False,open,,,,https://sites.google.com/view/olmosfletesymudanzas/inicio,True,4.6,,fletes y mudanzas,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/FLETES+y+mudanzas+Olmos/data=!4m7!3m6!1s0x8428b1fb9e0191d9:0xb69c78e66a0e44a9!8m2!3d20.6883034!4d-103.3366233!16s%2Fg%2F11fn7jgyt0!19sChIJ2ZEBnvuxKIQRqUQOauZ4nLY
4,Sitio web (formal) | Rating 5.0,Fletes Y Mudanzas Logística Ruiz,Transportation service,True," Perú 2557, Jardines de La Cruz, 44950 Guadalajara, Jal.",33 3966 5509,+523339665509,True,https://wa.me/523339665509,False,open,,,,https://www.logisticaruiz.mx/,True,5.0,,fletes y mudanzas,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+Y+Mudanzas+Log%C3%ADstica+Ruiz/data=!4m7!3m6!1s0x8428ad7ae439dc6b:0x1b41eced1a436556!8m2!3d20.6438904!4d-103.3743754!16s%2Fg%2F11myj98t6x!19sChIJa9w55HqtKIQRVmVDGu3sQRs
4,Sitio web (formal) | Rating 4.7,"Yo Lo Llevo, Yo Lo Traigo!! Fletes Y Mudanzas en Guadalajara.",Moving service,True," Fuente de la Concordia 200, Villa Fontana, 45615 San Pedro Tlaquepaque, Jal.",33 1417 2551,+523314172551,True,https://wa.me/523314172551,False,open,,,,https://yo-lo-llevo.com/,True,4.7,,fletes y mudanzas,Guadalajara Mexico,2026-06-15,"https://www.google.com/maps/place/Yo+Lo+Llevo,+Yo+Lo+Traigo!!+Fletes+Y+Mudanzas+en+Guadalajara./data=!4m7!3m6!1s0x8428b39537902457:0x2525a987946b9bef!8m2!3d20.5612824!4d-103.3567997!16s%2Fg%2F11bwh94g17!19sChIJVySQN5WzKIQR75trlIepJSU"
4,Sitio web (formal) | Rating 4.9,Mudanzas y fletes Covarrubias Punto Sao Paulo,Moving and storage service,True," Av de las Americas 1500 Piso 17 Col, Country Club, 44610 Guadalajara, Jal.",33 1370 8648,+523313708648,True,https://wa.me/523313708648,False,open,,,,http://mudanzascovarrubias.com/,True,4.9,,fletes y mudanzas,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Mudanzas+y+fletes+Covarrubias+Punto+Sao+Paulo/data=!4m7!3m6!1s0x8428af562cba59d7:0x81c13f8b6295f5d5!8m2!3d20.6979729!4d-103.3735642!16s%2Fg%2F11p3k82pgw!19sChIJ11m6LFavKIQR1fWVYos_wYE
